subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,limitsandderivatives_001,Find lim(x_3) (x + 3),3,6,9,0,b,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_002,Find lim(x_¹) (x - 22/7),¹,22/7,¹ - 22/7,0,c,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_003,Find lim(r_1) ¹r_,¹,2¹,¹_,1,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_004,Find lim(x_4) (4x + 3)/(x - 2),19/2,17/2,23/2,21/2,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_005,Find lim(x_1) (x__ + x_ + 1)/(x - 1),Does not exist,3,15,0,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_006,Find lim(x_0) [(x+1)_ - 1]/x,5,1,0,Does not exist,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_007,Find lim(x_2) (3x_ - x - 10)/(x_ - 4),23/4,11/4,19/4,Does not exist,b,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_008,Find lim(x_3) (x_ - 81)/(2x_ - 5x - 3),216,108,54,27,b,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_009,Find lim(x_0) (ax + b)/(cx + 1),a/c,b,b/c,a,b,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_010,Find lim(z_1) [(z^(1/3) - 1)/(z^(1/6) - 1)],2,1,3,1/2,a,Limits And Derivatives - limits_and_derivatives,C3,1.5,0.5,0.25
maths,limitsandderivatives_011,If lim(x_1) (ax_ + bx + c)/(cx_ + bx + a) = 3 where a + b + c ­ 0,then the value is,3,(a+b+c)/(c+b+a),a/c,a,Limits And Derivatives - c2,C2,1.5,-0.5,0.25
maths,limitsandderivatives_012,Find lim(x_-2) (1/x + 1/2)/(x + 2),1/4,-1/4,1/2,-1/2,b,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_013,Find lim(x_0) (sin ax)/(bx) where a,b ­ 0,a/b,b/a,ab,a,Limits And Derivatives - c2,C2,1.5,-0.5,0.25
maths,limitsandderivatives_014,Find lim(x_0) (sin ax)/(sin bx) where a,b ­ 0,a/b,b/a,ab,a,Limits And Derivatives - c2,C2,1.5,-0.5,0.25
maths,limitsandderivatives_015,Find lim(x_¹) [sin(¹ - x)]/(¹ - x),1,0,-1,Does not exist,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_016,Find lim(x_0) (cos x - 1)/x,1,0,-1,Does not exist,b,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_017,Find lim(x_0) (cos 2x - 1)/(cos x - 1),2,4,1,0,b,Limits And Derivatives - limits_and_derivatives,C3,1.5,0.5,0.25
maths,limitsandderivatives_018,Find lim(x_0) (ax + x cos x)/(b sin x) where a,b ­ 0,(a+1)/b,a/b,(a-1)/b,a,Limits And Derivatives - c3,C2,1.5,-0.5,0.25
maths,limitsandderivatives_019,Find lim(x_0) x sec x,0,1,Does not exist,°,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_020,Find lim(x_0) [(sin ax + bx)/(ax + sin bx)] where a,b ­ 0 and a+b ­ 0,(a+b)/(a+b),1,a/b,a,Limits And Derivatives - c3,C2,1.5,-0.5,0.25
maths,limitsandderivatives_021,Find lim(x_0) (cosec x - cot x),0,1,-1,Does not exist,a,Limits And Derivatives - limits_and_derivatives,C3,1.5,0.5,0.25
maths,limitsandderivatives_022,Find lim(x_¹/2) [tan 2x]/[x - ¹/2],2,-2,1,-1,b,Limits And Derivatives - limits_and_derivatives,C3,1.5,0.5,0.25
maths,limitsandderivatives_023,For f(x) = {2x + 3,x ² 0; 3(x+1),x > 0},find lim(x_0) f(x),3,a,Limits And Derivatives - 0,C2,1.5,-0.5,0.25
maths,limitsandderivatives_024,For f(x) = {x_ - 1,x ² 1; -x_ - 1,x > 1},find lim(x_1) f(x),0,a,Limits And Derivatives - 1,C2,1.5,-0.5,0.25
maths,limitsandderivatives_025,Find lim(x_0) f(x) where f(x) = {|x|/x,x ­ 0; 0,x = 0},0,1,a,Limits And Derivatives - c,C2,1.5,-0.5,0.25
maths,limitsandderivatives_026,Find lim(x_0) f(x) where f(x) = {x/|x|,x ­ 0; 0,x = 0},0,1,a,Limits And Derivatives - c,C2,1.5,-0.5,0.25
maths,limitsandderivatives_027,Find lim(x_5) f(x) where f(x) = |x| - 5,0,5,-5,Does not exist,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_028,If f(x) = {a + bx,x < 1; 4,x = 1; b - ax,x > 1} and lim(x_1) f(x) = f(1),then,a,a - b = 4,C2,1.5,-0.5,0.25
maths,limitsandderivatives_029,If lim(x_a) [f(x) - 2]/[x - a] = ¹ for f(1) = 2,evaluate lim(x_1) f(x),2,¹,2 + ¹,a,Limits And Derivatives - c3,C2,1.5,-0.5,0.25
maths,limitsandderivatives_030,Find the derivative of x_ - 2 at x = 10,20,18,22,10,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_031,Find the derivative of x at x = 1,1,0,2,Does not exist,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_032,Find the derivative of 99x at x = 100,99,100,9900,1,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_033,Find the derivative of x_ - 27 from first principle,3x_,x_,3x,27,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_034,Find the derivative of (x - 1)(x - 2) from first principle,2x - 3,x - 3,2x - 1,x - 1,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_035,Find the derivative of 1/x_ from first principle,-2/x_,2/x_,-1/x_,1/x_,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_036,Find the derivative of (x+1)/(x-1) from first principle,-2/(x-1)_,2/(x-1)_,1/(x-1)_,-1/(x-1)_,a,Limits And Derivatives - limits_and_derivatives,C3,1.5,0.5,0.25
maths,limitsandderivatives_037,For f(x) = (x___/100) + (x__/99) + ... + (x_/2) + x + 1,prove that f'(1) equals,100 f'(0),50 f'(0),99 f'(0),a,Limits And Derivatives - c3,C2,1.5,-0.5,0.25
maths,limitsandderivatives_038,Find the derivative of x_ + ax___ + a_x___ + ... + a___x + a_,nx___ + (n-1)ax___ + ... + a___,nx___ + ax___ + ... + a_,x___ + ax___ + ... + a___,nx_ + (n-1)ax___ + ... + na___,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_039,Find the derivative of (x - a)(x - b),2x - (a + b),2x - a - b,x - a - b,Both a and b,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_040,Find the derivative of (ax_ + b)_,4ax(ax_ + b),2ax(ax_ + b),4a(ax_ + b),2a(ax_ + b),a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_041,Find the derivative of (x - a)/(x - b),(a - b)/(x - b)_,(b - a)/(x - b)_,1/(x - b)_,-1/(x - b)_,b,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
maths,limitsandderivatives_042,Find the derivative of (x_ - a_)/(x - a),n(x___ - a___)/(x - a),nx___/(x - a),(x_ - a_)/(x - a)_,nx___,a,Limits And Derivatives - limits_and_derivatives,C3,1.5,0.5,0.25
maths,limitsandderivatives_043,Find the derivative of 2x - 3/4,2,3/4,2 - 3/4,0,a,Limits And Derivatives - limits_and_derivatives,C1,1.5,-1.0,0.25
maths,limitsandderivatives_044,Find the derivative of (5x_ + 3x - 1)(x - 1),20x_ - 15x_ + 6x - 4,20x_ + 15x_ - 6x + 4,15x_ + 6x - 4,20x_ - 15x_ - 6x + 4,a,Limits And Derivatives - limits_and_derivatives,C2,1.5,-0.5,0.25
