"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"How many 3-digit numbers can be formed from the digits 1, 2, 3, 4, and 5 if repetition of digits is allowed?,60,125,256,100,b,c1,permutations_and_combinations"
"How many 3-digit numbers can be formed from the digits 1, 2, 3, 4, and 5 if repetition of digits is not allowed?,60,125,24,100,a,c1,permutations_and_combinations"
"How many 3-digit even numbers can be formed from the digits 1, 2, 3, 4, 5, 6 if digits can be repeated?,108,216,100,120,a,c2,permutations_and_combinations"
"How many 4-letter codes can be formed using the first 10 letters of the English alphabet if no letter can be repeated?,5040,10000,2520,3024,a,c1,permutations_and_combinations"
"How many 5-digit telephone numbers can be constructed using the digits 0 to 9 if each number starts with 67 and no digit appears more than once?,336,504,720,56,d,c2,permutations_and_combinations"
"A coin is tossed 3 times and outcomes are recorded. How many possible outcomes are there?,6,8,9,12,b,c1,permutations_and_combinations"
"Given 5 flags of different colours, how many different signals can be generated if each signal requires the use of 2 flags, one below the other?,10,20,25,30,b,c1,permutations_and_combinations"
"What is the value of 8!?,5040,40320,362880,720,b,c1,permutations_and_combinations"
"What is the value of 4! - 3!?,18,6,12,24,a,c1,permutations_and_combinations"
"Is 3! + 4! equal to 7!?,Yes,No,Cannot be determined,Only if n>5,b,c1,permutations_and_combinations"
"Compute the value of 8!/(6!_2!),28,56,4,14,a,c1,permutations_and_combinations"
"If 1/6! + 1/7! = x/8!, find x,10,56,100,36,c,c2,permutations_and_combinations"
"Evaluate n!/(n-r)! when n=6, r=2,30,12,20,15,a,c1,permutations_and_combinations"
"Evaluate n!/(n-r)! when n=9, r=5,15120,3024,5040,30240,a,c2,permutations_and_combinations"
"How many 3-digit numbers can be formed using digits 1 to 9 if no digit is repeated?,504,729,720,648,a,c2,permutations_and_combinations"
"How many 4-digit numbers are there with no digit repeated?,4536,5040,9000,3024,a,c2,permutations_and_combinations"
"How many 3-digit even numbers can be made using the digits 1, 2, 3, 4, 6, 7 if no digit is repeated?,52,60,90,120,b,c2,permutations_and_combinations"
"Find the number of 4-digit numbers that can be formed using digits 1, 2, 3, 4, 5 if no digit is repeated. How many will be even?,120 total with 48 even,120 total with 24 even,60 total with 24 even,100 total with 40 even,b,c2,permutations_and_combinations"
"From a committee of 8 persons, in how many ways can we choose a chairman and a vice chairman if one person cannot hold more than one position?,56,64,72,132,a,c2,permutations_and_combinations"
"Find n if (n-1)P_ : nP_ = 1:9,10,9,8,11,a,c3,permutations_and_combinations"
"Find r if _P_ = 2__P___,2,3,8,Cannot be determined,b,c3,permutations_and_combinations"
"Find r if _P_ = _P___,3,8,2,Both 3 and 8,d,c3,permutations_and_combinations"
"How many words with or without meaning can be formed using all letters of the word EQUATION, using each letter exactly once?,40320,5040,20160,10080,a,c2,permutations_and_combinations"
"How many words with or without meaning can be made from the letters of MONDAY if 4 letters are used at a time?,360,720,120,240,a,c2,permutations_and_combinations"
"How many words can be made from the letters of MONDAY if all letters are used at a time?,720,120,360,5040,a,c1,permutations_and_combinations"
"How many words from MONDAY can be formed if all letters are used but first letter is a vowel?,240,360,120,480,a,c2,permutations_and_combinations"
"In how many distinct permutations of the letters in MISSISSIPPI do the four I's not come together?,33810,34650,8!/2!,Cannot be easily determined,b,c4,permutations_and_combinations"
"How many ways can the letters of PERMUTATIONS be arranged if words start with P and end with S?,1814400,3628800,907200,453600,a,c3,permutations_and_combinations"
"How many arrangements of PERMUTATIONS are possible if vowels are all together?,725760,1451520,362880,604800,b,c3,permutations_and_combinations"
"How many arrangements of PERMUTATIONS have always 4 letters between P and S?,3024000,1814400,1512000,6048000,a,c4,permutations_and_combinations"
"If _C_ = _C_, find _C_,45,55,28,36,a,c2,permutations_and_combinations"
"Determine n if __C_ : _C_ = 12:1,5,6,4,7,a,c3,permutations_and_combinations"
"Determine n if __C_ : _C_ = 11:1,5,6,4,7,b,c3,permutations_and_combinations"
"How many chords can be drawn through 21 points on a circle?,210,420,231,441,a,c2,permutations_and_combinations"
"In how many ways can a team of 3 boys and 3 girls be selected from 5 boys and 4 girls?,40,60,80,100,a,c2,permutations_and_combinations"
"Find the number of ways of selecting 9 balls from 6 red balls (identical), 5 white balls (identical) and 5 blue balls (identical) if each selection consists of 3 balls of each colour,100,200,1000,2000,c,c2,permutations_and_combinations"
"Determine the number of 5-card combinations out of a deck of 52 cards if there is exactly one ace in each combination,778320,886656,658008,1098240,c,c3,permutations_and_combinations"
"In how many ways can a cricket team of 11 be selected from 17 players in which only 5 can bowl if each team must include exactly 4 bowlers?,2380,4368,1260,3640,a,c3,permutations_and_combinations"
"A bag contains 5 black and 6 red balls. In how many ways can 2 black and 3 red balls be selected?,100,200,120,150,b,c2,permutations_and_combinations"
"In how many ways can a student choose a programme of 5 courses if 9 courses are available and 2 specific courses are compulsory for every student?,35,126,21,84,a,c2,permutations_and_combinations"
"What is the value of _C_?,0,1,n,undefined,b,c1,permutations_and_combinations"
"What is the value of _C_?,0,1,n,n!,b,c1,permutations_and_combinations"
"If _C_ = _C_, then which of the following is true?,""a=b or a+b=n"",a=b only,a+b=n only,No relation,a,c2,permutations_and_combinations"
"Which of the following equals _C___?,_C_,_P_,r!,n!/r!,a,c1,permutations_and_combinations"
"What does ___C_ equal?,_C_ + _C___,_C_ _ _C___,_C_ - _C___,_P_ + _P___,a,c2,permutations_and_combinations"
"How many permutations can be made from the letters of the word ALLAHABAD?,7560,3780,15120,60480,a,c3,permutations_and_combinations"
