subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,sets_001,Which of the following is a well-defined collection?,The collection of most talented writers,The collection of beautiful flowers,The collection of vowels in English alphabet,The collection of interesting books,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_002,Which symbol is used to denote 'belongs to' in set theory?,_,_,_,_,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_003,If a _ A,what does this notation mean?,a is a subset of A,a is an element of A,a is equal to A,a,Sets - c1,C2,1.5,-0.5,0.25
maths,sets_004,Which of the following represents the empty set?,{0},{_},_,{1},a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_005,In roster form,the set of odd natural numbers less than 10 is:,{1,3,5,a,Sets - 3,C2,1.5,-0.5,0.25
maths,sets_006,The set {S,C,H,O,L} represents letters in which word?,a,Sets - CHOOSE,C2,1.5,-0.5,0.25
maths,sets_007,If A = {1,2,3} and B = {3,1,2},a,Sets - A _ B only,C2,1.5,-0.5,0.25
maths,sets_008,The set of natural numbers is denoted by:,Z,Q,N,R,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_009,The set of integers is denoted by:,Z,Q,N,R,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_010,Which of the following is the null set?,{x : x _ N and x < 1},{0},{x : x_ = 4},{_},a,Sets - sets,C2,1.5,-0.5,0.25
maths,sets_011,If A = {a,b,c},how many elements does A have?,2,a,Sets - 5,C4,1.5,1.0,0.25
maths,sets_012,The set {x : x is an even prime number} equals:,{2},_,{2,4,a,Sets - {2},C2,1.5,-0.5,0.25
maths,sets_013,If n(A) = 5,what does this mean?,A has 5 subsets,A has 5 elements,A has 5 proper subsets,a,Sets - c1,C2,1.5,-0.5,0.25
maths,sets_014,A finite set is one that:,Has no elements,Has a definite number of elements or is empty,Is infinite,Has exactly one element,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_015,The set of real numbers is denoted by:,Q,Z,N,R,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_016,If A = {1,2} and B = {2,1},then which is true?,A ­ B,a,Sets - Neither A _ B nor B _ A,C2,1.5,-0.5,0.25
maths,sets_017,Which of the following is an infinite set?,{x : x is a month of a year},{x : x _ N},{x : x _ N and x < 100},{1,a,Sets - 4,C3,1.5,0.5,0.25
maths,sets_018,The interval (a,b) represents:,{x : a < x < b},{x : a ² x ² b},{x : a ² x < b},a,Sets - c1,C2,1.5,-0.5,0.25
maths,sets_019,The interval [a,b] represents:,{x : a < x < b},{x : a ² x ² b},{x : a ² x < b},a,Sets - c1,C2,1.5,-0.5,0.25
maths,sets_020,If every element of A is also in B,then:,A = B,A _ B,B _ A,a,Sets - c1,C2,1.5,-0.5,0.25
maths,sets_021,The symbol _ means:,is an element of,is equal to,is a subset of,is the union of,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_022,If A _ B and A ­ B,then A is called:,Equal set,Proper subset,Universal set,a,Sets - c2,C2,1.5,-0.5,0.25
maths,sets_023,Which set is a subset of every set?,Universal set,Empty set _,Set of natural numbers,Set {0},a,Sets - sets,C2,1.5,-0.5,0.25
maths,sets_024,If A = {1,2,3,4,5,a,Sets - 6},C4,1.5,1.0,0.25
maths,sets_025,The set {1,2,3} has how many subsets in total?,6,7,a,Sets - 8,C2,1.5,-0.5,0.25
maths,sets_026,A singleton set contains:,No elements,Exactly one element,Two elements,Infinite elements,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_027,Which of the following is true for any set A?,_ _ A,A _ _,_ _ A,A = _,a,Sets - sets,C2,1.5,-0.5,0.25
maths,sets_028,The set Q represents:,Natural numbers,Integers,Rational numbers,Real numbers,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_029,The universal set is usually denoted by:,A,B,U,_,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_030,If A _ B represents the union of sets A and B,it contains:,Only elements in A,Only elements in B,Elements in both A and B only,a,Sets - c1,C2,1.5,-0.5,0.25
maths,sets_031,If A = {1,2,3} and B = {3,4,5},a,Sets - {1,C2,1.5,-0.5,0.25
maths,sets_032,The symbol _ represents:,Intersection,Union,Difference,Complement,a,Sets - sets,C1,1.5,-1.0,0.25
maths,sets_033,If A = {2,4,6} and B = {4,6,8},a,Sets - 4,C2,1.5,-0.5,0.25
maths,sets_034,The symbol _ represents:,Union,Intersection,Difference,Complement,a,Sets - sets,C1,1.5,-1.0,0.25
