subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,binomialtheorem_001,In the expansion of (a + b)^n,how many terms are present?,n,n-1,n+1,a,Binomial Theorem - c1,C2,1.5,-0.5,0.25
maths,binomialtheorem_002,What is the sum of the powers of a and b in each term of the expansion of (a + b)^n?,n-1,n,n+1,2n,b,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_003,In Pascal's triangle,what number appears at the beginning and end of each row?,0,1,2,a,Binomial Theorem - c1,C2,1.5,-0.5,0.25
maths,binomialtheorem_004,What is the coefficient of the first term in the expansion of (a + b)^n?,0,1,n,n!,b,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_005,The binomial coefficient nCr is equal to:,n!/(r!(n-r)!),n!/r!,r!/(n-r)!,n!,a,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_006,In the expansion of (a + b)^5,what is the power of 'a' in the third term?,5,4,3,a,Binomial Theorem - c1,C2,1.5,-0.5,0.25
maths,binomialtheorem_007,What is the value of 5C0?,0,1,5,5!,b,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_008,How many terms are in the expansion of (x + y)^7?,7,8,9,6,b,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_009,In the expansion of (1 + x)^n,what is the coefficient of x^0?,0,1,n,a,Binomial Theorem - c1,C2,1.5,-0.5,0.25
maths,binomialtheorem_010,What is 2^n equal to in terms of binomial coefficients?,nC0 + nC1,nC0 + nC1 + nC2 + ... + nCn,nC1 + nC2,nCn,b,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_011,The expansion of (x - y)^n can be obtained from (x + y)^n by replacing:,x with -x,y with -y,both x and y with negatives,n with -n,b,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_012,What is the middle term in the expansion of (a + b)^6?,3rd term,4th term,Both 3rd and 4th terms,5th term,c,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_013,In the expansion of (2x + 3)^4,what is the coefficient of x^2?,6,216,54,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_014,The general term in the expansion of (a + b)^n is:,nCr _ a^(n-r) _ b^r,nCr _ a^r _ b^(n-r),nCr _ a^n _ b^r,r _ a^(n-r) _ b^r,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_015,What is the value of nC0 - nC1 + nC2 - nC3 + ... + (-1)^n _ nCn?,1,-1,0,2^n,c,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_016,In the expansion of (1 + x)^10,the coefficient of x^3 is:,10C3,10C7,Both A and B,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_017,The row of Pascal's triangle for index 4 is:,1 4 6 4 1,1 3 3 1,1 5 10 10 5 1,1 2 1,a,Binomial Theorem - binomial_theorem,C1,1.5,-1.0,0.25
maths,binomialtheorem_018,Using binomial theorem,(98)^2 can be written as:,(100-2)^2,(90+8)^2,(97+1)^2,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_019,The coefficient of x^4 in the expansion of (1 + x)^6 is:,15,20,6,30,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_020,In the expansion of (a + b)^n,the coefficient of the rth term is:,nCr-1,nCr,nCr+1,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_021,What is the expansion of (1 - x)^5 using binomial theorem?,1 - 5x + 10x^2 - 10x^3 + 5x^4 - x^5,1 + 5x + 10x^2 + 10x^3 + 5x^4 + x^5,1 - 5x - 10x^2 - 10x^3 - 5x^4 - x^5,5 - 5x + 10x^2,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_022,The term independent of x in the expansion of (x + 1/x)^6 is:,6C3,20,Both A and B,6C2,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_023,In the expansion of (x^2 + 3/x)^4,the constant term is:,108,54,216,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_024,If the coefficients of x^r and x^(n-r) in the expansion of (1 + x)^n are equal,then:,nCr = nCn-r,r = n-r,Both A and B are always true,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_025,The coefficient of x^5 in the expansion of (2 + x)^7 is:,7C5 _ 2^2,7C5 _ 4,Both A and B,84,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_026,Using binomial theorem,which is larger: (1.1)^10000 or 1000?,(1.1)^10000,1000,Both are equal,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_027,The sum of binomial coefficients in the expansion of (x + y)^n is:,n,n+1,2^n,2^(n-1),c,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_028,In the expansion of (1 + x)^n,the sum of coefficients of odd powers of x equals:,Sum of coefficients of even powers,2^(n-1),2^n,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_029,What is (x + 2)^6 equal to using binomial theorem?,x^6 + 12x^5 + 60x^4 + 160x^3 + 240x^2 + 192x + 64,x^6 + 6x^5 + 15x^4 + 20x^3 + 15x^2 + 6x + 1,x^6 + 2x^5 + 4x^4 + 8x^3 + 16x^2 + 32x + 64,None of these,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_030,The number of terms in the expansion of (a + b + c)^10 is:,11,55,66,10,c,Binomial Theorem - binomial_theorem,C4,1.5,1.0,0.25
maths,binomialtheorem_031,If 6^n - 5n leaves remainder 1 when divided by 25,this is true for:,All positive integers n,Only even n,Only odd n,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_032,The coefficient of x^3 in the expansion of (2x - 3)^6 is:,6C3 _ 2^3 _ (-3)^3,-4320,4320,6C3 _ 8 _ 27,b,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_033,In the expansion of (x/3 + 1/x)^5,the term independent of x is:,5C2/9,10/9,Both A and B,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_034,The value of 10C0 + 10C1 + 10C2 + ... + 10C10 is:,1024,512,2048,1023,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_035,Using binomial theorem,(99)^5 can be approximated by expanding:,(100-1)^5,(90+9)^5,(98+1)^5,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_036,In the expansion of (2x + 3y)^5,the coefficient of x^3y^2 is:,720,540,1080,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_037,What is the 4th term in the expansion of (x + 2)^7?,7C3 _ x^4 _ 8,280x^4,Both A and B,7C4 _ x^3 _ 16,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_038,The middle term in the expansion of (x + 1)^10 is:,6th term,5th and 6th terms,5th term,11th term,b,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_039,In the expansion of (1 + x)^n,if the coefficient of x^5 equals the coefficient of x^7,then n equals:,12,10,a,Binomial Theorem - A,C2,1.5,-0.5,0.25
maths,binomialtheorem_040,The coefficient of x^4 in (1 + 2x)^5 is:,5C4 _ 16,80,Both A and B,40,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_041,Using binomial theorem,(101)^4 equals:,104060401,104040401,104080401,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_042,In the expansion of (x - 2y)^5,the 3rd term is:,10x^3 _ 4y^2,40x^3y^2,Both A and B,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_043,The expansion of (a + b)^4 - (a - b)^4 equals:,8ab(a^2 + b^2),8a^3b + 8ab^3,Both A and B,16ab(a^2 + b^2),c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_044,Which term in the expansion of (x + y)^8 has equal powers of x and y?,4th term,5th term,Both 4th and 5th,3rd term,b,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_045,The sum 1 - 6C1 + 6C2 - 6C3 + 6C4 - 6C5 + 6C6 equals:,0,1,-1,2,a,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
maths,binomialtheorem_046,In the expansion of (x^2 + 2/x)^5,the term independent of x occurs at:,3rd position,4th position,Both 3rd and 4th,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_047,The coefficient of x^7 in (1 + x)^10 + (1 + x)^11 is:,11C7 + 10C7,792,Both A and B,None,c,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_048,9^(n+1) - 8n - 9 is divisible by:,64,36,81,72,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_049,In the expansion of (2x - 1/x)^6,the constant term is:,6C3 _ 8 _ (-1)^3,-160,Both A and B,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_050,The ratio of coefficients of x^10 and x^7 in the expansion of (x + 2)^17 is:,17C10 _ 2^10 : 17C7 _ 2^7,8:1,1:8,None,a,Binomial Theorem - binomial_theorem,C4,1.5,1.0,0.25
maths,binomialtheorem_051,Using binomial theorem,an approximation of (0.99)^5 is:,0.95099,0.96,0.9509,a,Binomial Theorem - c3,C2,1.5,-0.5,0.25
maths,binomialtheorem_052,The term containing x^4 in the expansion of (x/3 + 1/x)^5 does not exist because:,Powers don't match,It exists,x appears in denominator,All terms have x,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_053,In (Ã3 + Ã2)^6 - (Ã3 - Ã2)^6,the result is:,An even integer,Divisible by Ã6,Contains irrational terms,a,Binomial Theorem - c4,C2,1.5,-0.5,0.25
maths,binomialtheorem_054,The coefficient of x^n in the expansion of (1 + x)^(2n) is:,2nCn,2^n,2nCn-1,n!,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_055,If nC4 = nC6,then n equals:,10,9,11,a,Binomial Theorem - c2,C2,1.5,-0.5,0.25
maths,binomialtheorem_056,The value of (Ã2 + 1)^6 + (Ã2 - 1)^6 is:,198,99,197,396,a,Binomial Theorem - binomial_theorem,C3,1.5,0.5,0.25
maths,binomialtheorem_057,In the expansion of (1 + x + x^2)^10,the coefficient of x^2 is greater than:,100,50,45,a,Binomial Theorem - c4,C2,1.5,-0.5,0.25
maths,binomialtheorem_058,The expansion of (x + 1/x)^6 contains how many terms?,6,7,13,12,b,Binomial Theorem - binomial_theorem,C2,1.5,-0.5,0.25
