subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,linearinequalities_001,Solve 24x < 100 when x is a natural number. What is the solution set?,{1,2,3},{1,a,Linear Inequalities - 4},C3,1.5,0.5,0.25
maths,linearinequalities_002,Solve 24x < 100 when x is an integer. The largest integer value of x is:,4,3,5,2,b,Linear Inequalities - linear_inequalities,C1,1.5,-1.0,0.25
maths,linearinequalities_003,Solve -12x > 30 when x is a natural number. The solution set is:,Empty set,{1,2},{-3,a,Linear Inequalities - ...},C2,1.5,-0.5,0.25
maths,linearinequalities_004,Solve -12x > 30 when x is an integer. What are the solutions?,x > -5/2,x < -5/2,x ³ -2,x ² -3,b,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_005,Solve 5x - 3 < 7 when x is an integer. The solution set is:,x < 2,{...,-2,-1,a,{-1,C2,1.5,-0.5,0.25
maths,linearinequalities_006,Solve 5x - 3 < 7 when x is a real number. The solution in interval notation is:,(-°,2),(-°,2],a,Linear Inequalities - [2,C2,1.5,-0.5,0.25
maths,linearinequalities_007,Solve 3x + 8 > 2 when x is an integer. The smallest integer solution is:,-2,-1,0,1,b,Linear Inequalities - linear_inequalities,C1,1.5,-1.0,0.25
maths,linearinequalities_008,Solve 3x + 8 > 2 when x is a real number. The solution is:,x > -2,x < -2,x ³ -2,x > 2,a,Linear Inequalities - linear_inequalities,C1,1.5,-1.0,0.25
maths,linearinequalities_009,Solve 4x + 3 < 5x + 7. The solution set is:,x > -4,x < -4,x ³ -4,x ² -4,a,Linear Inequalities - linear_inequalities,C1,1.5,-1.0,0.25
maths,linearinequalities_010,Solve 3x - 7 > 5x - 1. The solution is:,x < -3,x > -3,x < 3,x > 3,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_011,Solve 3(x - 1) ² 2(x - 3). The solution is:,x ² -3,x ³ -3,x ² 3,x ³ 3,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_012,Solve 3(2 - x) ³ 2(1 - x). The solution is:,x ² 4,x ³ 4,x ² -4,x ³ -4,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_013,Solve x + x/2 + x/3 < 11. The solution is:,x < 6,x > 6,x ² 6,x ³ 6,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_014,Solve x/3 > x/2 + 1. The solution is:,x < -6,x > -6,x < 6,x > 6,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_015,Solve 3(x-2)/5 ² 5(2-x)/3. The solution is:,x ² 1,x ³ 1,x ² 19/12,x ³ 19/12,d,Linear Inequalities - linear_inequalities,C3,1.5,0.5,0.25
maths,linearinequalities_016,Solve (1/2)(3x/5 + 4) ³ (1/3)(x - 6). The solution is:,x ³ -24,x ³ -4,x ² -24,x ² -4,c,Linear Inequalities - linear_inequalities,C3,1.5,0.5,0.25
maths,linearinequalities_017,Solve 2(2x + 3) - 10 < 6(x - 2). The solution is:,x > 4,x < 4,x ³ 4,x ² 4,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_018,Solve 37 - (3x + 5) > 9x - 8(x - 3). The solution is:,x < 4,x > 4,x < 8,x > 8,a,Linear Inequalities - linear_inequalities,C3,1.5,0.5,0.25
maths,linearinequalities_019,Solve x/4 < (5x-2)/3 - (7x-3)/5. The solution is:,x > 8/9,x < 8/9,x > -8/9,x < -8/9,b,Linear Inequalities - linear_inequalities,C3,1.5,0.5,0.25
maths,linearinequalities_020,Solve (2x-1)/3 ³ (3x-2)/4 - (2-x)/5. The solution is:,x ² 2,x ³ 2,x ² 0,x ³ 0,a,Linear Inequalities - linear_inequalities,C4,1.5,1.0,0.25
maths,linearinequalities_021,For the inequality 3x - 2 < 2x + 1,the solution represented on number line shows:,x < 3 with open circle at 3,x > 3 with open circle at 3,x ² 3 with closed circle at 3,a,Linear Inequalities - c2,C2,1.5,-0.5,0.25
maths,linearinequalities_022,For the inequality 5x - 3 ³ 3x - 5,the solution on number line shows:,x ³ -1 with closed circle at -1,x > -1 with open circle at -1,x ² -1 with closed circle at -1,a,Linear Inequalities - c2,C2,1.5,-0.5,0.25
maths,linearinequalities_023,Solve 3(1 - x) < 2(x + 4). The graphical representation shows:,x > -1 with shading to the right,x < -1 with shading to the left,x > 1 with shading to the right,x < 1 with shading to the left,a,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_024,Solve x/2 ³ (5x-2)/3 - (7x-3)/5. The solution is:,x ² 2,x ³ 2,x ² 8/9,x ³ 8/9,c,Linear Inequalities - linear_inequalities,C3,1.5,0.5,0.25
maths,linearinequalities_025,Ravi obtained 70 and 75 marks in first two unit tests. Minimum marks needed in third test for average of at least 60 is:,55,45,60,50,b,Linear Inequalities - linear_inequalities,C2,1.5,-0.5,0.25
maths,linearinequalities_026,To get grade A (average ³ 90) in five exams,if first four scores are 87,92,94,95,a,Linear Inequalities - 85,C2,1.5,-0.5,0.25
maths,linearinequalities_027,All pairs of consecutive odd positive integers both smaller than 10 with sum > 11 are:,(3,5),(5,7),a,Linear Inequalities - (5,C2,1.5,-0.5,0.25
maths,linearinequalities_028,All pairs of consecutive even positive integers both larger than 5 with sum < 23 are:,(6,8),(8,10),a,Linear Inequalities - (8,C2,1.5,-0.5,0.25
maths,linearinequalities_029,In a triangle,longest side = 3_shortest side,third side = longest - 2cm. If perimeter ³ 61cm,minimum length of shortest side is:,10 cm,a,Linear Inequalities - 12 cm,C2,1.5,-0.5,0.25
maths,linearinequalities_030,A board of 91cm is cut into three pieces. Second = shortest + 3cm,third = 2_shortest. If third ³ second + 5cm,possible lengths of shortest are:,[22,°),a,Linear Inequalities - [23,C2,1.5,-0.5,0.25
maths,linearinequalities_031,Solve -8 ² 5x - 3 < 7. The solution is:,[-1,2),(-1,2],a,(-1,C2,1.5,-0.5,0.25
maths,linearinequalities_032,Solve -5 ² (5-3x)/2 ² 8. The solution is:,[-11/3,5],[-5,11/3],a,[-11/3,C2,1.5,-0.5,0.25
