subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,3d_geometry_001,In three dimensional geometry,how many coordinates are needed to locate a point?,One,Two,Three,four,3D Geometry - c1,COPTION_C,1.5,0.0,0.25
maths,3d_geometry_002,The three coordinate axes in 3D space are:,Mutually perpendicular,Parallel to each other,At 45� to each other,At 60� to each other,a,3D Geometry - 3D Geometry - Coordinate Axes,C1,1.5,-1.0,0.25
maths,3d_geometry_003,The three coordinate planes are called:,XY-plane only,XY-plane and YZ-plane only,XY-plane,YZ-plane and ZX-plane,xyz-plane,3D Geometry - c1,COPTION_C,1.5,0.0,0.25
maths,3d_geometry_004,The three coordinate planes divide the space into how many octants?,Four,Six,Eight,Twelve,c,3D Geometry - 3D Geometry - Octants,C1,1.5,-1.0,0.25
maths,3d_geometry_005,The coordinates of the origin are:,(1,0,0),(0,0,3D Geometry - (0,C0),1.5,0.0,0.25
maths,3d_geometry_006,A point on the x-axis has coordinates of the form:,(x,0,0),(0,y,3D Geometry - (0,C0),1.5,0.0,0.25
maths,3d_geometry_007,A point on the y-axis has coordinates of the form:,(x,0,0),(0,y,3D Geometry - (0,C0),1.5,0.0,0.25
maths,3d_geometry_008,A point on the z-axis has coordinates of the form:,(x,0,0),(0,y,3D Geometry - (0,C0),1.5,0.0,0.25
maths,3d_geometry_009,If a point is on the x-axis,what are its y-coordinate and z-coordinates?,Both zero,Both non-zero,y=0,z can be any value,3D Geometry - option_a,CBOTH EQUAL TO X,1.5,0.0,0.25
maths,3d_geometry_010,If a point is in the XZ-plane,what can you say about its y-coordinate?,y = 0,y > 0,y < 0,y can be any value,3D Geometry - c2,COPTION_A,1.5,0.0,0.25
maths,3d_geometry_011,A point in the YZ-plane has coordinates of the form:,(x,y,0),(0,y,3D Geometry - (x,CZ),1.5,0.0,0.25
maths,3d_geometry_012,The point (1,2,3) lies in which octant?,I,II,iii,3D Geometry - option_a,CIV,1.5,0.0,0.25
maths,3d_geometry_013,The point (4,_2,3) lies in which octant?,I,IV,v,3D Geometry - option_b,CVIII,1.5,0.0,0.25
maths,3d_geometry_014,The point (4,_2,_5) lies in which octant?,III,IV,vii,3D Geometry - option_d,CVIII,1.5,0.0,0.25
maths,3d_geometry_015,The point (_4,2,_5) lies in which octant?,II,V,vi,3D Geometry - option_c,CVII,1.5,0.0,0.25
maths,3d_geometry_016,The point (_4,2,5) lies in which octant?,I,II,v,3D Geometry - option_b,CVI,1.5,0.0,0.25
maths,3d_geometry_017,The point (_3,_1,6) lies in which octant?,II,III,vi,3D Geometry - option_b,CVII,1.5,0.0,0.25
maths,3d_geometry_018,The point (_2,_4,_7) lies in which octant?,III,VI,vii,3D Geometry - option_c,CVIII,1.5,0.0,0.25
maths,3d_geometry_019,In octant I,the signs of coordinates (x,y,z) are:,(+,+,3D Geometry - (_,C+),1.5,0.0,0.25
maths,3d_geometry_020,In octant II,the signs of coordinates (x,y,z) are:,(+,+,3D Geometry - (_,C+),1.5,0.0,0.25
maths,3d_geometry_021,In octant VII,the signs of coordinates (x,y,z) are:,(_,_,3D Geometry - (_,C_),1.5,0.0,0.25
maths,3d_geometry_022,In octant VIII,the signs of coordinates (x,y,z) are:,(+,_,3D Geometry - (_,C_),1.5,0.0,0.25
maths,3d_geometry_023,The x-axis and y-axis together determine a plane known as:,XZ-plane,YZ-plane,XY-plane,XYZ-plane,c,3D Geometry - 3D Geometry - Exercise 11.1 Q4,C2,1.5,-0.5,0.25
maths,3d_geometry_024,The coordinates of points in the XY-plane are of the form:,(x,y,0),(x,0,3D Geometry - (0,CZ),1.5,0.0,0.25
maths,3d_geometry_025,Coordinate planes divide the space into _____ octants:,Four,Six,Eight,Twelve,c,3D Geometry - 3D Geometry - Exercise 11.1 Q4,C2,1.5,-0.5,0.25
maths,3d_geometry_026,Distance between points P(x_,y_,z_) and Q(x_,y_,z_) is:,�[(x__x_)_+(y__y_)_],3D Geometry - �[(x__x_)_+(y__y_)_+(z__z_)_],C(X__X_)+(Y__Y_)+(Z__Z_),1.5,0.0,0.25
maths,3d_geometry_027,Distance of point P(x,y,z) from origin is:,�(x_+y_),�(x_+y_+z_),x+y+z,3D Geometry - option_b,C�(XYZ),1.5,0.0,0.25
maths,3d_geometry_028,Distance between (2,3,5) and (4,3,1) is:,2,3D Geometry - 4,C2�5,1.5,0.0,0.25
