subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
Vocabulary,1,What does 'ubiquitous' mean?,Rare,Present everywhere,Hidden,Complex,B,Common Words,C2,1.2,-0.5,0.25
Vocabulary,2,What does 'ephemeral' mean?,Permanent,Beautiful,Short-lived,Mysterious,C,Time & Duration,C2,1.3,-0.3,0.25
Vocabulary,3,What does 'pragmatic' mean?,Idealistic,Practical,Theoretical,Emotional,B,Philosophy,C2,1.4,-0.4,0.25
Vocabulary,4,What does 'ambivalent' mean?,Decisive,Clear,Having mixed feelings,Angry,C,Emotions,C2,1.5,-0.2,0.25
Vocabulary,5,What does 'eloquent' mean?,Silent,Fluent and persuasive,Loud,Quiet,B,Communication,C3,1.6,0.2,0.25
Vocabulary,6,What does 'meticulous' mean?,Careless,Quick,Extremely careful and precise,Sloppy,C,Attention to Detail,C3,1.4,0.3,0.25
Vocabulary,7,What does 'resilient' mean?,Weak,Able to recover quickly,Rigid,Fragile,B,Character Traits,C3,1.3,0.1,0.25
Vocabulary,8,What does 'altruistic' mean?,Selfish,Unselfish,Generous,Mean,B,Character Traits,C3,1.5,0.4,0.25
Vocabulary,9,What does 'candid' mean?,Dishonest,Secretive,Frank and honest,Rude,C,Communication,C3,1.2,0.2,0.25
Vocabulary,10,What does 'frugal' mean?,Wasteful,Economical,Rich,Poor,B,Economics,C2,1.4,-0.1,0.25
Vocabulary,11,What does 'gregarious' mean?,Antisocial,Quiet,Sociable,Aggressive,C,Social Behavior,C3,1.6,0.5,0.25
Vocabulary,12,What does 'innovative' mean?,Traditional,Creative and new,Old-fashioned,Boring,B,Innovation,C2,1.5,-0.3,0.25
Vocabulary,13,What does 'lethargic' mean?,Energetic,Sluggish,Alert,Active,B,Energy Levels,C2,1.3,-0.4,0.25
Vocabulary,14,What does 'nostalgic' mean?,Forward-looking,Modern,Longing for the past,Happy,C,Emotions,C2,1.4,-0.2,0.25
Vocabulary,15,What does 'ostentatious' mean?,Modest,Showy,Humble,Simple,B,Behavior,C4,1.8,1.2,0.25
Vocabulary,16,What does 'perplexed' mean?,Confident,Puzzled,Happy,Clear,B,Mental States,C2,1.3,-0.1,0.25
Vocabulary,17,What does 'quixotic' mean?,Practical,Realistic,Idealistic and impractical,Sensible,C,Literature,C4,1.9,1.5,0.25
Vocabulary,18,What does 'reticent' mean?,Talkative,Reserved,Outgoing,Loud,B,Communication,C3,1.5,0.6,0.25
Vocabulary,19,What does 'sagacious' mean?,Foolish,Wise,Young,Old,B,Wisdom,C4,1.8,1.3,0.25
