subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c,selected_option_text
Vocabulary,1,What is the meaning of INGENIOUS,Very clever/inventive,Foolish,Careless,Lazy,A,Vocabulary,Advanced,1.4,0.96,0.25,Vocabulary
Vocabulary,2,What is the meaning of HAPPY,Sad and disappointed,Feeling joy or contentment,Angry and frustrated,Confused and lost,B,Vocabulary,Intermediate,0.8,-1.5,0.25,Vocabulary
Vocabulary,3,What is the meaning of MODEST,Boastful,Humble,Strong,Angry,B,Vocabulary,Intermediate,0.95,0,0.25,Vocabulary
Vocabulary,4,What is the meaning of BIG,Very small,Very large,Thin,Weak,B,Vocabulary,Easy,0.7,-1.45,0.25,Vocabulary
Vocabulary,5,What is the meaning of ASTUTE,Clever/Sharp,Foolish,Careless,Weak,A,Vocabulary,Advanced,1.6,0.78,0.25,Vocabulary
Vocabulary,6,What is the meaning of GENEROUS,Kind/Helpful,Greedy,Lazy,Proud,A,Vocabulary,Intermediate,0.5,-0.35,0.25,Vocabulary
Vocabulary,7,What is the meaning of SMALL,Large,Tiny,Tall,Strong,B,Vocabulary,Easy,0.6,-1.3,0.25,Vocabulary
Vocabulary,8,What is the meaning of PERCEPTIVE,Observant/Insightful,Careless,Foolish,Weak,A,Vocabulary,Advanced,1.6,0.98,0.25,Vocabulary
Vocabulary,9,What is the meaning of DOWN,Above,Under/Lower,Fast,Far,B,Vocabulary,Easy,1,-1,0.25,Vocabulary
Vocabulary,10,What is the meaning of BAD,Evil/Not good,Bright,Kind,Fresh,A,Vocabulary,Easy,1.2,-1.1,0.25,Vocabulary
Vocabulary,11,What is the meaning of POLITE,Rude,Well-mannered,Loud,Silent,B,Vocabulary,Intermediate,0.6,-0.45,0.25,Vocabulary
Vocabulary,12,What is the meaning of PROUD,Humble,Arrogant/Self-respecting,Careful,Weak,B,Vocabulary,Intermediate,0.75,-0.2,0.25,Vocabulary
Vocabulary,13,What is the meaning of OBSTINATE,Stubborn,Flexible,Kind,Careless,A,Vocabulary,Advanced,2,2,0.25,Vocabulary
Vocabulary,14,What is the meaning of OBSEQUIOUS,Excessively obedient,Strong,Careless,Brave,A,Vocabulary,Advanced,1.3,1,0.25,Vocabulary
Vocabulary,15,What is the meaning of HOT,Warm/High temperature,Cold,Wet,Hard,A,Vocabulary,Easy,1,-1.35,0.25,Vocabulary
Vocabulary,16,What is the meaning of IMPECCABLE,Faultless/Perfect,Wrong,Dirty,Common,A,Vocabulary,Advanced,1.8,0.72,0.25,Vocabulary
Vocabulary,17,What is the meaning of ADAMANT,Flexible,Unyielding/Determined,Weak,Lazy,B,Vocabulary,Advanced,1.3,0.9,0.25,Vocabulary
Vocabulary,18,What is the meaning of PRUDENT,Careful/Thoughtful,Careless,Foolish,Quick,A,Vocabulary,Advanced,1.5,0.92,0.25,Vocabulary
