"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"Convert 25¡ to radian measure.,""5¹/36"",""¹/12"",""25¹/180"",""7¹/36"",a,c1,trigonometric_functions"
"Convert -47¡30' to radian measure.,""-19¹/36"",""-95¹/360"",""-47¹/90"",""-¹/4"",b,c2,trigonometric_functions"
"Convert 240¡ to radian measure.,""4¹/3"",""2¹/3"",""5¹/3"",""7¹/6"",a,c1,trigonometric_functions"
"Convert 520¡ to radian measure.,""26¹/9"",""13¹/9"",""52¹/9"",""7¹/3"",b,c2,trigonometric_functions"
"Convert 11/16 radians to degree measure (use ¹ = 22/7).,""39¡ 22' 30''"",""38¡ 45' 00''"",""40¡ 15' 30''"",""37¡ 30' 00''"",a,c2,trigonometric_functions"
"Convert -4 radians to degree measure (use ¹ = 22/7).,""-229¡ 5' 27''"",""-230¡ 10' 20''"",""-228¡ 15' 30''"",""-225¡ 45' 00''"",a,c2,trigonometric_functions"
"Convert 5¹/3 radians to degree measure.,""300¡"",""150¡"",""240¡"",""200¡"",a,c1,trigonometric_functions"
"Convert 7¹/6 radians to degree measure.,""210¡"",""150¡"",""240¡"",""180¡"",a,c1,trigonometric_functions"
"A wheel makes 360 revolutions in one minute. Through how many radians does it turn in one second?,""12¹"",""6¹"",""2¹"",""4¹"",a,c2,trigonometric_functions"
"Find the degree measure of the angle subtended at the centre of a circle of radius 100 cm by an arc of length 22 cm (use ¹ = 22/7).,""12¡ 36'"",""11¡ 30'"",""13¡ 45'"",""10¡ 15'"",a,c2,trigonometric_functions"
"In a circle of diameter 40 cm, the length of a chord is 20 cm. Find the length of minor arc of the chord.,""20¹/3 cm"",""10¹/3 cm"",""40¹/3 cm"",""5¹/3 cm"",a,c3,trigonometric_functions"
"If in two circles, arcs of the same length subtend angles 60¡ and 75¡ at the centre, the ratio of their radii is:,""5:4"",""4:5"",""3:4"",""4:3"",a,c2,trigonometric_functions"
"Find the angle in radian through which a pendulum swings if its length is 75 cm and the tip describes an arc of length 10 cm.,""2/15"",""1/7.5"",""4/30"",""1/8"",a,c2,trigonometric_functions"
"If cos x = -1/2 and x lies in third quadrant, then sin x equals:,""-Ã3/2"",""Ã3/2"",""-1/2"",""1/2"",a,c2,trigonometric_functions"
"If sin x = 3/5 and x lies in second quadrant, then cos x equals:,""-4/5"",""4/5"",""-3/5"",""3/5"",a,c2,trigonometric_functions"
"If cot x = 3/4 and x lies in third quadrant, then sec x equals:,""-5/3"",""5/3"",""-5/4"",""5/4"",a,c2,trigonometric_functions"
"If sec x = 13/5 and x lies in fourth quadrant, then tan x equals:,""-12/5"",""12/5"",""-5/12"",""5/13"",a,c2,trigonometric_functions"
"If tan x = -5/12 and x lies in second quadrant, then sin x equals:,""5/13"",""-5/13"",""12/13"",""-12/13"",a,c2,trigonometric_functions"
"Find the value of sin 765¡.,""1/Ã2"",""-1/Ã2"",""1"",""0"",a,c2,trigonometric_functions"
"Find the value of cosec(-1410¡).,""-2"",""2"",""-Ã2"",""Ã2"",a,c2,trigonometric_functions"
"Find the value of tan(19¹/3).,""Ã3"",""-Ã3"",""1/Ã3"",""-1/Ã3"",a,c2,trigonometric_functions"
"Find the value of sin(-11¹/3).,""Ã3/2"",""-Ã3/2"",""1/2"",""-1/2"",a,c2,trigonometric_functions"
"Find the value of cot(-15¹/4).,""1"",""-1"",""Ã2"",""-Ã2"",a,c2,trigonometric_functions"
"The value of sin 15¡ is:,""(Ã3-1)/(2Ã2)"",""(Ã3+1)/(2Ã2)"",""(Ã2-1)/2"",""(Ã2+1)/2"",a,c2,trigonometric_functions"
"The value of tan(13¹/12) is:,""-(2+Ã3)"",""2+Ã3"",""-(2-Ã3)"",""2-Ã3"",a,c3,trigonometric_functions"
"If tan x = -3/4, where ¹ < x < 3¹/2, then sin(x/2) equals:,""3/Ã10"",""-3/Ã10"",""1/Ã10"",""-1/Ã10"",a,c3,trigonometric_functions"
"The value of sin(31¹/3) is:,""Ã3/2"",""1/2"",""-Ã3/2"",""-1/2"",a,c2,trigonometric_functions"
"The value of cos(-1710¡) is:,""0"",""1"",""-1"",""1/2"",a,c2,trigonometric_functions"
"Prove: 3sin(¹/6)sec(¹/3) - 4sin(5¹/6)cot(¹/4) equals:,""1"",""0"",""2"",""3"",a,c2,trigonometric_functions"
"The value of tan(¹/8) is:,""Ã2 - 1"",""Ã2 + 1"",""1 - Ã2"",""-(Ã2 + 1)"",a,c3,trigonometric_functions"
"If sin(x+y) = sin x cos y + cos x sin y, then sin 75¡ equals:,""(Ã3+1)/(2Ã2)"",""(Ã3-1)/(2Ã2)"",""(Ã2+1)/2"",""(Ã2-1)/2"",a,c2,trigonometric_functions"
"cos(¹/2 - x) equals:,""sin x"",""cos x"",""tan x"",""cot x"",a,c1,trigonometric_functions"
"sin(¹/2 - x) equals:,""cos x"",""sin x"",""-cos x"",""-sin x"",a,c1,trigonometric_functions"
"cos(¹ - x) equals:,""-cos x"",""cos x"",""-sin x"",""sin x"",a,c1,trigonometric_functions"
"sin(¹ - x) equals:,""sin x"",""-sin x"",""cos x"",""-cos x"",a,c1,trigonometric_functions"
"cos(¹ + x) equals:,""-cos x"",""cos x"",""sin x"",""-sin x"",a,c1,trigonometric_functions"
"sin(¹ + x) equals:,""-sin x"",""sin x"",""-cos x"",""cos x"",a,c1,trigonometric_functions"
"The value of cos 2x in terms of sin x is:,""1 - 2sin_x"",""2sin_x - 1"",""1 + 2sin_x"",""sin_x - 1"",a,c1,trigonometric_functions"
"The value of sin 2x equals:,""2sin x cos x"",""sin_x - cos_x"",""2tan x/(1+tan_x)"",""Both a and c"",d,c2,trigonometric_functions"
"tan 2x equals:,""2tan x/(1-tan_x)"",""2tan x/(1+tan_x)"",""(1-tan_x)/(2tan x)"",""tan_x/(1-tan_x)"",a,c1,trigonometric_functions"
"sin 3x equals:,""3sin x - 4sin_x"",""4sin_x - 3sin x"",""3sin x + 4sin_x"",""sin_x - 3sin x"",a,c2,trigonometric_functions"
"cos 3x equals:,""4cos_x - 3cos x"",""3cos x - 4cos_x"",""4cos_x + 3cos x"",""cos_x - 3cos x"",a,c2,trigonometric_functions"
"tan 3x equals:,""(3tan x - tan_x)/(1 - 3tan_x)"",""(tan_x - 3tan x)/(1 + 3tan_x)"",""3tan x/(1 - tan_x)"",""tan x/(1 - 3tan_x)"",a,c2,trigonometric_functions"
"cos x + cos y equals:,""2cos((x+y)/2)cos((x-y)/2)"",""2sin((x+y)/2)cos((x-y)/2)"",""2cos((x+y)/2)sin((x-y)/2)"",""cos((x+y)/2)cos((x-y)/2)"",a,c2,trigonometric_functions"
"sin x + sin y equals:,""2sin((x+y)/2)cos((x-y)/2)"",""2cos((x+y)/2)sin((x-y)/2)"",""2cos((x+y)/2)cos((x-y)/2)"",""2sin((x+y)/2)sin((x-y)/2)"",a,c2,trigonometric_functions"
"cos x - cos y equals:,""-2sin((x+y)/2)sin((x-y)/2)"",""2sin((x+y)/2)sin((x-y)/2)"",""-2cos((x+y)/2)sin((x-y)/2)"",""2cos((x+y)/2)cos((x-y)/2)"",a,c2,trigonometric_functions"
"sin x - sin y equals:,""2cos((x+y)/2)sin((x-y)/2)"",""2sin((x+y)/2)cos((x-y)/2)"",""2sin((x+y)/2)sin((x-y)/2)"",""-2cos((x+y)/2)sin((x-y)/2)"",a,c2,trigonometric_functions"
