question,option_a,option_b,option_c,option_d,answer,tier,topic
Mia had $100 with her. Her father gave her $50 as pocket money. Her grandmother gave her $100 as a birthday gift. How much money does she have altogether?,$150,$200,$100,$250,D,C2,Addition - Money
"If Mango = 400 grams, Apple = 200 grams and Mango + Apple + Grapes = 800 grams, then what will be the weight of Grapes?",100 grams,200 grams,300 grams,400 grams,B,C2,Subtraction - Weight
Which of the following shapes has maximum number of sides?,Heptagon,Pentagon,Hexagon,Octagon,D,C1,Shapes and Geometry
"Based on pictograph where each crayon symbol represents 5 crayons, who has the maximum number of crayons among Tia (4 symbols), Milo (2 symbols), Bruce (3 symbols), Tom (2 symbols)?",Tia,Milo,Bruce,Tom,A,C2,Data Handling - Pictographs
"Oscar has to board a train that arrives at the station at 4:20 p.m. If he reaches the station at 3:45 pm, then how long will he have to wait at the platform?",45 minutes,40 minutes,50 minutes,35 minutes,D,C2,Time - Duration
I am a two-digit number between 20 and 30. My ten's place digit is greater than one's place digit. Who am I?,28,27,21,23,C,C2,Number Sense - Place Value
Which of the following is the odd one out: Height of building = 12 m / Height of chair = 2 m / Weight of stone = 2 kg / Length of rod = 25 cm,Height of building = 12 m,Height of chair = 2 m,Weight of stone = 2 kg,Length of rod = 25 cm,C,C2,Measurement - Units
What is 12�C more than 13�C?,13�C,3�C,25�C,1�C,C,C1,Addition - Temperature
"Peter is taller than Siel by 38 cm. If Siel is 118 cm tall, then what is Peter's height?",172 cm,132 cm,156 cm,148 cm,C,C2,Addition - Measurement
"Fill in the blank: 127, ____, 141, 148, 155",132,134,131,133,B,C2,Patterns and Sequences
Which of these correctly represents 973?,Nine hundred and thirty-seven,Nine hundred and seventy-three,Nine hundred and thirty,Nine hundred and seven,B,C1,Number Names
"If the position of R and U is interchanged in the sequence P Q R S T U V W, then who will be second from the left?",P,Q,R,W,B,C2,Logical Reasoning - Position
Fill in the blank: 135 + 48 + ___ = 534 - 123 + 42,135,183,270,453,C,C3,Addition and Subtraction - Equations
How many straight lines are there in a paper airplane figure?,6,7,8,9,D,C2,Geometry - Counting Lines
"In certain code language POND is coded as RSTL, how is HEAR written in that code?",GHIJ,GHIZ,JIGZ,JCLZ,C,C3,Logical Reasoning - Coding
"A man said to a lady, 'Your mother's husband's sister is my aunt.' How is the lady related to the man?",Daughter,Mother,Sister,Aunt,C,C3,Logical Reasoning - Relations
"Find the next number: 17, 22, 27, 32, �?",33,35,38,37,D,C1,Patterns and Sequences
"Find the missing term: AYD, BVF, DRH, ?, KGL",FMI,GMJ,GLJ,HLK,B,C3,Patterns - Letter Series
"Find the missing number in number patterns: 1, 2, 4, 8, 16, ____",31,32,34,36,B,C2,Patterns - Number Series
Compute: 1 + 2 + 3 + 4 + 5 + ..... + 47 + 48 + 49 + 50,1260,1365,1275,None of these,C,C4,Addition - Series
How many lines of different lengths can be formed from 5 points A B C D E in a row?,10,15,9,12,A,C3,Geometry - Combinations
Compute the following: 657 � (157 + 180),320,310,280,340,A,C2,Subtraction - Mixed Operations
Kavita is 8 years old. Her father is 34 years old. In how many years' time will her father's age be three times Kavita's age?,Five,Seven,Four,Two,A,C4,Word Problems - Age
20 sparrows were resting on 2 lamp posts. 4 sparrows flew from 1st to 2nd lamp post. 2 sparrows flew from 2nd to 1st lamp post. The number of sparrows on each lamp post then became same. How many sparrows were at each lamp post at first?,20 Sparrows,12 sparrows,22 sparrows,28 sparrows,B,C4,Word Problems - Logical Reasoning
Count by 2s: How many hockey sticks are there (showing 4 pairs)?,3,10,12,8,D,C1,Skip Counting
Select the number that is 1 less than 19.,22,16,20,18,D,C1,Subtraction - Basic
"Which even number comes before: ___, 6, 8, 10",4,8,16,10,A,C1,Number Patterns - Even Numbers
"Complete the table with rule 'add 8': In column has 2, 3, 8, 10. What are the Out values?","10, 16, 18","10, 12, 14","12, 14, 2","10, 18, 20",D,C2,Addition - Function Tables
Which number makes the equation true: 14 + 4 = ___ + 5,14,13,15,16,B,C2,Addition - Equations
How much is a Rs 5 coin worth?,Rs 5.00,Rs 2,Rs 0.50,Rs 10,A,C1,Money - Coin Recognition
How much money is there: Rs 1 + Rs 2 + Rs 10 + Rs 1?,Rs 16.00,Rs 14.00,Rs 12.50,Rs 24.00,B,C1,Money - Counting Coins
"Mini, Riya, Trishu and Sanchi are sitting on a bench. Mini is next to Riya. Riya is on right end. Sanchi is next to Mini. Who is on the left end?",Mini,Riya,Trishu,Sanchi,C,C3,Logical Reasoning - Seating Arrangement
How many flowers will be there in pattern 5 (if pattern 1 has 1 flower arranged in 1x1; pattern 2 has 4 flowers in 2x2; pattern 3 has 9 flowers in 3x3)?,16,25,20,30,B,C3,Patterns - Square Numbers
Which of the following is not controlled by a computer chip?,Automatic washing machines,Digital camera,Human brain and human body,PlayStation,C,C1,Computer Awareness
Which computer part takes human voice as input?,Headphones,Speakers,Monitor,Microphone,D,C1,Computer Hardware
Select the INCORRECT match about keyboard keys and functions,Cursor Control keys - Arrow keys,Spacebar - Separates words,Esc key - New line,Shift + @ - Symbol,C,C2,Computer - Keyboard
"If the same pattern is followed (17/35/18; 47/76/29; ?/57/32), find the missing number",35,28,25,23,C,C3,Patterns - Number Relationships
Arrange the pens from longest to shortest: P Q R S,"P, Q, S, R","P, S, Q, R","P, S, R, Q","P, Q, R, S",B,C2,Measurement - Comparing Lengths
Find the odd shape out among circles with different line patterns,Circle with 1 line,Circle with X,Circle with 2 vertical lines,Circle with 2 diagonal lines,B,C2,Patterns - Visual
Count the number of straight lines in a gear-shaped figure,48,50,52,49,A,C3,Geometry - Counting Lines
How many groups of 9 tomatoes each can be formed from 27 tomatoes?,2,4,6,3,D,C2,Division - Grouping
Sonia is taller than Diksha. Diksha is not taller than Avni. Sonia is not the tallest. Who is the tallest?,Sonia,Avni,Diksha,Can't be determined,B,C3,Logical Reasoning - Comparison
How do you write 'Eight' using digits?,80,18,8,48,C,C1,Number Writing
What shape comes next in the pattern: circle triangle circle triangle circle triangle circle ?,Circle,Triangle,Two triangles,Two circles,B,C1,Patterns - Shape Sequence
Which is NOT a way to make 6?,5 + 1,2 + 4,0 + 4,1 + 5,C,C1,Addition - Number Bonds
93 is 9 tens plus 3 units. Which is another way to make 93?,9 tens plus 19 units,6 tens plus 3 units,7 tens plus 13 units,8 tens plus 13 units,D,C2,Place Value - Regrouping
Estimate: How many marbles are in the jar?,About 70,About 35,About 45,About 55,B,C2,Estimation
What is 25 rounded to the nearest ten?,30,40,10,50,A,C2,Rounding Numbers
"If you select a marble without looking from a bag with 3 purple and 1 orange marble, how likely is it that you will pick a black one?",Certain,Probable,Unlikely,Impossible,D,C2,Probability
Write as a subtraction sentence: Forty-six less forty-four is two.,46 � 44 = 2,44 � 46 = 2,50 � 6 = 44,43 � 45 = 2,A,C1,Subtraction - Number Sentences
3 dogs and 4 cats have how many legs in total?,28,26,18,7,A,C2,Multiplication - Word Problems
"Find the missing numbers: 1, 4, 9, 16, ( ), ( )","25, 36","24, 30","24, 36","30, 36",A,C3,Patterns - Square Numbers
A school choir has 72 members. The number of girls is 6 more than boys. How many girls are there?,46,32,34,42,A,C4,Word Problems - Algebra
Compute: (2 + 4 + 6 + ... + 28 + 30) � (1 + 3 + 5 + 7 + ... + 27 + 29),15,20,25,32,A,C4,Addition and Subtraction - Series
Trees are planted along a 40m road. Distance between trees is 8m. How many trees if both ends are planted?,5,6,8,7,B,C4,Division - Spatial Reasoning
2 basketballs and 3 volleyballs cost Rs 195. 4 basketballs and 5 volleyballs cost Rs 355. What is cost of each volleyball?,Rs. 35,Rs. 25,Rs. 40,Rs. 42,A,C4,Word Problems - System of Equations
How many squares are there in a 2x2 grid?,6 squares,5 squares,13 squares,15 squares,B,C3,Geometry - Counting Shapes
"Fill in the blank: 127, ____, 141, 148, 155",132,134,131,133,B,C2,Patterns - Arithmetic Sequence
