"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"Find lim(x_3) (x + 3),""3"",""6"",""9"",""0"",""b"",c1,limits_and_derivatives"
"Find lim(x_¹) (x - 22/7),""¹"",""22/7"",""¹ - 22/7"",""0"",""c"",c1,limits_and_derivatives"
"Find lim(r_1) ¹r_,""¹"",""2¹"",""¹_"",""1"",""a"",c1,limits_and_derivatives"
"Find lim(x_4) (4x + 3)/(x - 2),""19/2"",""17/2"",""23/2"",""21/2"",""a"",c1,limits_and_derivatives"
"Find lim(x_1) (x__ + x_ + 1)/(x - 1),""Does not exist"",""3"",""15"",""0"",""a"",c2,limits_and_derivatives"
"Find lim(x_0) [(x+1)_ - 1]/x,""5"",""1"",""0"",""Does not exist"",""a"",c2,limits_and_derivatives"
"Find lim(x_2) (3x_ - x - 10)/(x_ - 4),""23/4"",""11/4"",""19/4"",""Does not exist"",""b"",c2,limits_and_derivatives"
"Find lim(x_3) (x_ - 81)/(2x_ - 5x - 3),""216"",""108"",""54"",""27"",""b"",c2,limits_and_derivatives"
"Find lim(x_0) (ax + b)/(cx + 1),""a/c"",""b"",""b/c"",""a"",""b"",c1,limits_and_derivatives"
"Find lim(z_1) [(z^(1/3) - 1)/(z^(1/6) - 1)],""2"",""1"",""3"",""1/2"",""a"",c3,limits_and_derivatives"
"If lim(x_1) (ax_ + bx + c)/(cx_ + bx + a) = 3 where a + b + c ­ 0, then the value is,""3"",""(a+b+c)/(c+b+a)"",""a/c"",""Cannot be determined"",""a"",c2,limits_and_derivatives"
"Find lim(x_-2) (1/x + 1/2)/(x + 2),""1/4"",""-1/4"",""1/2"",""-1/2"",""b"",c2,limits_and_derivatives"
"Find lim(x_0) (sin ax)/(bx) where a,b ­ 0,""a/b"",""b/a"",""ab"",""1"",""a"",c2,limits_and_derivatives"
"Find lim(x_0) (sin ax)/(sin bx) where a,b ­ 0,""a/b"",""b/a"",""ab"",""1"",""a"",c2,limits_and_derivatives"
"Find lim(x_¹) [sin(¹ - x)]/(¹ - x),""1"",""0"",""-1"",""Does not exist"",""a"",c2,limits_and_derivatives"
"Find lim(x_0) (cos x - 1)/x,""1"",""0"",""-1"",""Does not exist"",""b"",c2,limits_and_derivatives"
"Find lim(x_0) (cos 2x - 1)/(cos x - 1),""2"",""4"",""1"",""0"",""b"",c3,limits_and_derivatives"
"Find lim(x_0) (ax + x cos x)/(b sin x) where a,b ­ 0,""(a+1)/b"",""a/b"",""(a-1)/b"",""1/b"",""a"",c3,limits_and_derivatives"
"Find lim(x_0) x sec x,""0"",""1"",""Does not exist"",""°"",""a"",c2,limits_and_derivatives"
"Find lim(x_0) [(sin ax + bx)/(ax + sin bx)] where a,b ­ 0 and a+b ­ 0,""(a+b)/(a+b)"",""1"",""a/b"",""(a+1)/(1+b)"",""a"",c3,limits_and_derivatives"
"Find lim(x_0) (cosec x - cot x),""0"",""1"",""-1"",""Does not exist"",""a"",c3,limits_and_derivatives"
"Find lim(x_¹/2) [tan 2x]/[x - ¹/2],""2"",""-2"",""1"",""-1"",""b"",c3,limits_and_derivatives"
"For f(x) = {2x + 3, x ² 0; 3(x+1), x > 0}, find lim(x_0) f(x),""3"",""2"",""Does not exist"",""0"",""a"",c2,limits_and_derivatives"
"For f(x) = {x_ - 1, x ² 1; -x_ - 1, x > 1}, find lim(x_1) f(x),""0"",""Does not exist"",""-2"",""1"",""b"",c2,limits_and_derivatives"
"Find lim(x_0) f(x) where f(x) = {|x|/x, x ­ 0; 0, x = 0},""0"",""1"",""Does not exist"",""-1"",""c"",c2,limits_and_derivatives"
"Find lim(x_0) f(x) where f(x) = {x/|x|, x ­ 0; 0, x = 0},""0"",""1"",""Does not exist"",""-1"",""c"",c2,limits_and_derivatives"
"Find lim(x_5) f(x) where f(x) = |x| - 5,""0"",""5"",""-5"",""Does not exist"",""a"",c1,limits_and_derivatives"
"If f(x) = {a + bx, x < 1; 4, x = 1; b - ax, x > 1} and lim(x_1) f(x) = f(1), then,""a + b = 4"",""a = b"",""a - b = 4"",""a + b = 0"",""a"",c3,limits_and_derivatives"
"If lim(x_a) [f(x) - 2]/[x - a] = ¹ for f(1) = 2, evaluate lim(x_1) f(x),""2"",""¹"",""2 + ¹"",""0"",""a"",c3,limits_and_derivatives"
"Find the derivative of x_ - 2 at x = 10,""20"",""18"",""22"",""10"",""a"",c1,limits_and_derivatives"
"Find the derivative of x at x = 1,""1"",""0"",""2"",""Does not exist"",""a"",c1,limits_and_derivatives"
"Find the derivative of 99x at x = 100,""99"",""100"",""9900"",""1"",""a"",c1,limits_and_derivatives"
"Find the derivative of x_ - 27 from first principle,""3x_"",""x_"",""3x"",""27"",""a"",c2,limits_and_derivatives"
