"question,option_a,option_b,option_c,option_d,answer,tier,topic"
"A circle is defined as the set of all points in a plane that are:,At a fixed distance from two points,Equidistant from a fixed point,On a straight line,Equidistant from a fixed line,B,c1,conic_sections"
"The standard equation of a circle with centre at origin and radius r is:,x_ + y_ = r,x_ + y_ = r_,(x-r)_ + (y-r)_ = 1,x + y = r_,B,c1,conic_sections"
"What conic section is formed when a plane cuts a cone perpendicular to its axis (_ = 90¡)?,Parabola,Ellipse,Circle,Hyperbola,C,c1,conic_sections"
"A parabola is the set of all points equidistant from:,Two fixed points,A fixed point and a fixed line,A fixed line only,The origin,B,c1,conic_sections"
"The fixed point in the definition of a parabola is called the:,Vertex,Directrix,Focus,Centre,C,c1,conic_sections"
"What is the equation of a circle with centre (h k) and radius r?,""(x-h)_ + (y-k)_ = r_"",x_ + y_ = r_,(x+h)_ + (y+k)_ = r,x_ + y_ = (h+k)_,A,c1,conic_sections"
"The line through the focus perpendicular to the directrix of a parabola is called:,Latus rectum,Axis,Tangent,Chord,B,c1,conic_sections"
"For the parabola y_ = 4ax the focus is at:,(-a 0),(a 0),(0 a),(0 -a),B,c2,conic_sections"
"The length of latus rectum of parabola y_ = 4ax is:,a,2a,4a,8a,C,c2,conic_sections"
"An ellipse is defined as the set of points where the sum of distances from two fixed points is:,Variable,Zero,Constant,Infinite,C,c1,conic_sections"
"The two fixed points in the definition of an ellipse are called:,Vertices,Centres,Foci,Directrices,C,c1,conic_sections"
"For an ellipse the relationship between a b and c is:,c_ = a_ + b_,a_ = b_ + c_,b_ = a_ + c_,a_ = b_ - c_,B,c2,conic_sections"
"The eccentricity of an ellipse is defined as:,e = a/c,e = b/c,e = c/a,e = c/b,C,c2,conic_sections"
"For an ellipse the eccentricity e satisfies:,e > 1,e = 1,e < 1,e ³ 1,C,c2,conic_sections"
"The equation x_ + y_ + 8x + 10y - 8 = 0 represents:,A parabola,An ellipse,A circle,A hyperbola,C,c2,conic_sections"
"What conic is formed when _ < _ < 90¡ (where _ is semi-vertical angle of cone)?,Circle,Ellipse,Parabola,Hyperbola,B,c2,conic_sections"
"The standard equation of parabola with vertex at origin and focus on positive x-axis is:,y_ = 4ax,x_ = 4ay,y_ = -4ax,x_ = -4ay,A,c2,conic_sections"
"For the circle (x-3)_ + (y-2)_ = 16 the centre is at:,(3 2),(2 3),(-3 -2),(16 16),A,c2,conic_sections"
"A hyperbola is the set of points where the difference of distances from two foci is:,Variable,Zero,Constant,Maximum,C,c1,conic_sections"
"For a hyperbola the relationship between a b and c is:,a_ = b_ + c_,b_ = a_ + c_,c_ = a_ + b_,c_ = a_ - b_,C,c2,conic_sections"
"The eccentricity of a hyperbola satisfies:,e < 1,e = 1,e > 1,e ² 1,C,c2,conic_sections"
"The length of latus rectum of ellipse x_/a_ + y_/b_ = 1 is:,2a_/b,2b_/a,a_/b,b_/a,B,c2,conic_sections"
"For the parabola y_ = 12x the focus is at:,(12 0),(3 0),(0 3),(6 0),B,c2,conic_sections"
"The equation of directrix for parabola y_ = 4ax is:,x = a,x = -a,y = a,y = -a,B,c2,conic_sections"
"When a plane cuts a cone such that _ = _ the conic section formed is:,Circle,Ellipse,Parabola,Hyperbola,C,c2,conic_sections"
"The centre of the circle x_ + y_ - 4x - 8y - 45 = 0 is:,(2 4),(4 8),(-2 -4),(4 2),A,c2,conic_sections"
"For ellipse with foci on x-axis the standard equation is:,x_/a_ + y_/b_ = 1 where a > b,x_/b_ + y_/a_ = 1 where a > b,x_/a_ - y_/b_ = 1,y_/a_ - x_/b_ = 1,A,c2,conic_sections"
"The point where parabola intersects its axis is called:,Focus,Vertex,Directrix,Centre,B,c1,conic_sections"
"For the ellipse x_/36 + y_/16 = 1 the value of a is:,36,16,6,4,C,c2,conic_sections"
"A degenerate conic formed when plane passes through vertex with _ = _ is:,A point,A straight line,Two intersecting lines,A circle,B,c2,conic_sections"
"The equation x_ = 6y represents a parabola with:,Focus at (0 3/2),Focus at (3/2 0),Vertex at (3 0),Directrix y = 3/2,A,c3,conic_sections"
"For hyperbola x_/a_ - y_/b_ = 1 the foci lie on:,x-axis,y-axis,Both axes,Origin,A,c2,conic_sections"
