subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,straightlines_001,What is the slope of a line passing through points (3,-2) and (-1,4)?,-3/2,3/2,a,Straight Lines - a,C2,1.5,-0.5,0.25
maths,straightlines_002,The slope of x-axis is:,0,1,undefined,not defined,a,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_003,The slope of y-axis is:,0,1,undefined,-1,c,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_004,A line makes an angle of 60¡ with the positive direction of x-axis. Its slope is:,1/2,Ã3,1/Ã3,1,b,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_005,Find the slope of the line passing through (0,-4) and (8,0).,-1/2,1/2,a,Straight Lines - b,C2,1.5,-0.5,0.25
maths,straightlines_006,If two lines are parallel,their slopes are:,equal,negative reciprocals,product is -1,a,Straight Lines - c1,C2,1.5,-0.5,0.25
maths,straightlines_007,If two lines are perpendicular,the product of their slopes is:,-1,0,1,a,Straight Lines - c1,C2,1.5,-0.5,0.25
maths,straightlines_008,The equation of x-axis is:,x = 0,y = 0,x = y,x + y = 0,b,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_009,The equation of y-axis is:,x = 0,y = 0,x = y,x + y = 0,a,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_010,A horizontal line parallel to x-axis at distance 3 units above it has equation:,x = 3,y = 3,x = -3,y = -3,b,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_011,A vertical line parallel to y-axis at distance 2 units to the left of it has equation:,x = 2,y = 2,x = -2,y = -2,c,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_012,The slope of the line 3x - 4y + 10 = 0 is:,3/4,-3/4,4/3,-4/3,a,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_013,The y-intercept of the line y = 2x + 5 is:,2,5,-5,0,b,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_014,The equation of a line with slope 2 and y-intercept -3 is:,y = 2x - 3,y = 2x + 3,y = -2x + 3,y = -2x - 3,a,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_015,Which of the following points lies on the line 2x + 3y = 6?,(0,2),(2,0),a,Straight Lines - (3,C2,1.5,-0.5,0.25
maths,straightlines_016,The slope of a line making inclination 45¡ with positive x-axis is:,0,1,-1,Ã3,b,Straight Lines - straight_lines,C1,1.5,-1.0,0.25
maths,straightlines_017,Points (4,4),(3,5) and (-1,-1) form:,a,Straight Lines - a right angled triangle,C2,1.5,-0.5,0.25
maths,straightlines_018,The distance between points (6,-4) and (3,0) is:,5 units,4 units,a,Straight Lines - a,C2,1.5,-0.5,0.25
