subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,sequencesandseries_001,A sequence is defined as:,A set of unordered numbers,An arrangement of numbers in definite order,A random collection,A group of equal numbers,b,Sequences - Basic Definition,C1,1.5,-1.0,0.25
maths,sequencesandseries_002,A sequence containing finite number of terms is called:,Infinite sequence,Finite sequence,Arithmetic sequence,Geometric sequence,b,Sequences - Classification,C1,1.5,-1.0,0.25
maths,sequencesandseries_003,In the sequence 2,4,8,16,...,a,Sequences And Series - 8,C4,1.5,1.0,0.25
maths,sequencesandseries_004,The nth term of a sequence is also called:,First term,Last term,General term,Common term,c,Sequences - Terminology,C1,1.5,-1.0,0.25
maths,sequencesandseries_005,If a_ = n(n + 2),what is a_?,1,2,3,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_006,If a_ = n(n + 2),what is a_?,4,6,8,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_007,If a_ = n(n + 2),what is a_?,8,12,15,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_008,If a_ = n/(n+1),what is a_?,1/2,1/3,2/3,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_009,If a_ = 2_,what is a_?,4,6,8,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_010,If a_ = (2n-3)/6,what is a_?,_1/6,1/6,_1/2,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_011,If a_ = (_1)___5___,what is a_?,5,25,_25,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_012,If a_ = n(n_+5)/4,what is a_?,3/2,6/4,1,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_013,If a_ = 4n _ 3,what is a__?,65,68,71,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_014,If a_ = 4n _ 3,what is a__?,93,96,89,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_015,If a_ = n_/2_,what is a_?,49/128,7/64,343/128,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_016,If a_ = (_1)___n_,what is a_?,729,_729,81,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_017,If a_ = n(n_2)/(n+3),what is a__?,360/23,18/23,320/23,a,Sequences And Series - c2,C2,1.5,-0.5,0.25
maths,sequencesandseries_018,In a Geometric Progression (G.P.),each term bears a _____ ratio to its preceding term:,Variable,Constant,Increasing,a,Sequences And Series - c1,C2,1.5,-0.5,0.25
maths,sequencesandseries_019,In a G.P. with first term 'a' and common ratio 'r',the second term is:,a + r,ar,a/r,a,Sequences And Series - c1,C2,1.5,-0.5,0.25
