subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,statistics_001,Which measure indicates how data points are scattered around the central tendency?,Mean,Median,Measure of dispersion,Mode,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_002,The range of a dataset is calculated as:,Maximum value + Minimum value,Maximum value - Minimum value,Maximum value _ Minimum value,Maximum value Ö Minimum value,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_003,If the runs scored by batsman A are: 30,91,0,64,42,a,Statistics - 61,C2,1.5,-0.5,0.25
maths,statistics_004,Mean deviation is calculated about which measure(s)?,Mean only,Median only,Mean and median,Mode only,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_005,Which symbol is used to denote standard deviation?,_,_,_,_,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_006,Variance is denoted by which symbol?,_,__,s,s_,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_007,For the data: 6,7,10,12,13,a,Statistics - 12,C2,1.5,-0.5,0.25
maths,statistics_008,Mean deviation about mean for data 6,7,10,12,13,a,Statistics - 12 is:,C2,1.5,-0.5,0.25
maths,statistics_009,The sum of deviations from the mean is always:,Zero,Positive,Negative,Cannot be determined,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_010,If A = {2,4,6,8} and B = {1,3,a,Statistics - these sets are:,C2,1.5,-0.5,0.25
maths,statistics_011,For finding mean deviation,we take:,Actual deviations,Absolute deviations,Squared deviations,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_012,Which is NOT a measure of dispersion?,Range,Mean,Variance,Standard deviation,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_013,If variance is 25,the standard deviation is:,5,12.5,625,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_014,For data: 4,7,8,9,10,a,Statistics - 17,C2,1.5,-0.5,0.25
maths,statistics_015,Mean deviation about median for 13,17,16,14,11,a,Statistics - 16,C2,1.5,-0.5,0.25
maths,statistics_016,The formula for variance of ungrouped data is:,_(xi - __)/n,_(xi - __)_/n,_|xi - __|/n,_xi_/n,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_017,Standard deviation is the:,Square of variance,Square root of variance,Reciprocal of variance,Double of variance,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_018,If each observation is multiplied by 2,the variance becomes:,Same,2 times,4 times,a,Statistics - c3,C2,1.5,-0.5,0.25
maths,statistics_019,If each observation is increased by 5,the variance:,Increases by 5,Decreases by 5,Remains unchanged,a,Statistics - c3,C2,1.5,-0.5,0.25
maths,statistics_020,For frequency distribution,mean deviation about mean is:,_fi|xi - __|/N,_|xi - __|/n,_fi(xi - __)/N,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_021,The variance formula for discrete frequency distribution is:,_fi(xi - __)/N,_fi(xi - __)_/N,_fi|xi - __|/N,_fixi/N,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_022,In step-deviation method,if yi = (xi - A)/h,then x_ equals:,A + há_,A - há_,a,Statistics - A + há_,C2,1.5,-0.5,0.25
maths,statistics_023,The relationship between variance of x and y in step-deviation is:,_x_ = h__y_,_x_ = h_y_,_x_ = _y_/h_,_x_ = _y_,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_024,For continuous frequency distribution,xi represents:,Class boundaries,Class limits,Mid-points of classes,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_025,The median class is identified by cumulative frequency:,Equal to N/2,Just greater than or equal to N/2,Just less than N/2,Equal to N,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_026,If variance of 20 observations is 5 and each observation is multiplied by 2,new variance is:,5,10,20,a,Statistics - c3,C2,1.5,-0.5,0.25
maths,statistics_027,Which measure of dispersion is affected most by extreme values?,Range,Mean deviation,Standard deviation,Variance,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_028,The coefficient of variation is:,(_/__) _ 100,(x_/_) _ 100,_ _ __,_ + __,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_029,For the data with mean 4.4 and variance 8.24,if observations are 1,2,6,x,a,Statistics - 13,C2,1.5,-0.5,0.25
maths,statistics_030,Alternative formula for variance is:,_xi_/n - (_xi/n)_,_xi_/n + (_xi/n)_,(_xi_/n)_,_(xi_)/n_,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_031,Mean deviation is always:,Negative,Positive or zero,Zero,Positive,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_032,If all observations are identical,the variance is:,1,0,Undefined,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_033,For data: xi = 4,8,11,17,20,a,Statistics - 5,C2,1.5,-0.5,0.25
maths,statistics_034,The variance of first n natural numbers is:,(n_ - 1)/12,n(n + 1)/6,(n + 1)(2n + 1)/6,(n - 1)(n + 1)/12,a,Statistics - statistics,C4,1.5,1.0,0.25
maths,statistics_035,Standard deviation of first 10 multiples of 3 is approximately:,8.65,8.25,9.0,7.5,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_036,Which statement is true about mean deviation?,Always less than standard deviation,Always greater than standard deviation,Always equal to standard deviation,No relation with standard deviation,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_037,For grouped data,the formula _fixi_/N - (_fixi/N)_ gives:,Mean,Variance,Standard deviation,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_038,If mean is 40 and one observation 50 was wrongly taken as 40,the correct sum is:,Same,Increases by 10,Decreases by 10,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_039,The unit of variance is:,Same as data,Square of data unit,Reciprocal of data unit,No unit,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_040,The unit of standard deviation is:,Square of data unit,Same as data unit,No unit,Reciprocal of data unit,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_041,Mean deviation can be calculated about:,Mean,median,mode,Mean only,a,Statistics - Mean,C2,1.5,-0.5,0.25
maths,statistics_042,In shortcut method for variance,assumed mean A is taken as:,Smallest value,Largest value,Middle value or close to it,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_043,If xi values are: 6,10,14,18,24,a,Statistics - 4,C2,1.5,-0.5,0.25
maths,statistics_044,For calculating median in grouped data,we need:,Mid-points,Cumulative frequency,Mean,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_045,The width of class interval is denoted by:,h,f,x,d,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_046,Mean deviation about median is generally:,Less than about mean,Greater than about mean,Equal to about mean,Cannot be compared,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_047,If mean = 53 and median = 53 for two datasets A and B,we can conclude:,A and B are identical,A and B have same dispersion,A and B may have different dispersions,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_048,Variance measures:,Central tendency,Dispersion,Skewness,Kurtosis,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_049,For data: 38,70,48,40,42,a,Statistics - 46,C2,1.5,-0.5,0.25
maths,statistics_050,Standard deviation is preferred over mean deviation because:,It uses absolute values,It is based on all observations,It can be algebraically treated,It is easy to calculate,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_051,If _(xi - __)_ = 100 and n = 20,variance is:,5,100,20,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_052,For continuous distribution 0-10,10-20,20-30 with frequencies 5,8,15,a,Statistics - 5,C2,1.5,-0.5,0.25
maths,statistics_053,In calculating variance by shortcut method,di = (xi - A)/h is called:,Deviation,Step-deviation,Mean deviation,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_054,If variance of observations x1,x2,...,xn is __,variance of ax1,a,Statistics - axn is:,C2,1.5,-0.5,0.25
maths,statistics_055,The sum of squared deviations is minimum when taken from:,Mean,Median,Mode,Any value,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_056,For the classes 30-40,40-50,50-60 with h = 10,if A = 45,then y for class 50-60 is:,a,Statistics - 0.5,C2,1.5,-0.5,0.25
maths,statistics_057,Mean deviation is measured in:,Same units as data,Square of data units,No units,Reciprocal units,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_058,Which gives the spread of middle 50% of data?,Range,Quartile deviation,Mean deviation,Standard deviation,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_059,If all values in a dataset are same,the range is:,Equal to the value,0,1,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_060,Variance can be:,Negative,Zero or positive,Only positive,Only negative,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_061,For data with _xi = 300,n = 20,the mean is:,15,20,a,Statistics - 15,C2,1.5,-0.5,0.25
maths,statistics_062,Standard deviation of 6,8,10,12,14,a,Statistics - 20,C2,1.5,-0.5,0.25
maths,statistics_063,If mean of 5 observations is 4.4,then _xi equals:,22,4.4,0.88,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_064,The square root of mean of squared deviations is:,Mean deviation,Variance,Standard deviation,Range,a,Statistics - statistics,C1,1.5,-1.0,0.25
maths,statistics_065,For grouped data,N represents:,Number of classes,Sum of frequencies,Number of observations in largest class,a,Statistics - c1,C2,1.5,-0.5,0.25
maths,statistics_066,If __ = 201,then _ equals:,40401,14.18,100.5,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_067,Mean deviation about mean for 12,3,18,17,4,a,Statistics - 19,C2,1.5,-0.5,0.25
maths,statistics_068,In frequency distribution,if l is lower limit,f is frequency,h is width and C is cumulative frequency of class before median class,median formula includes:,a,(C - N/2)/f,C2,1.5,-0.5,0.25
maths,statistics_069,The formula _x = h_y in step-deviation method shows:,Direct proportion,Inverse proportion,No relation,Quadratic relation,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_070,If incorrect mean was 40 due to wrong observation 50 instead of 40,the correction needed is:,Add 10 to sum,Subtract 10 from sum,Multiply by 10,a,Statistics - c2,C2,1.5,-0.5,0.25
maths,statistics_071,For xi: 3,8,13,18,23 with fi: 7,a,Statistics - 10,C2,1.5,-0.5,0.25
maths,statistics_072,Which is true for standard deviation?,Always less than variance,Always greater than variance,May be less or greater than variance,Always equal to variance,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_073,Mean of squares of deviations from mean is:,Mean deviation,Variance,Standard deviation,Range,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_074,If each observation xi is replaced by xi + a,standard deviation:,Increases by a,Decreases by a,Remains same,a,Statistics - c3,C2,1.5,-0.5,0.25
maths,statistics_075,For classes 0-10,10-20,20-30,30-40,40-50 with frequencies 6,a,Statistics - 16,C2,1.5,-0.5,0.25
maths,statistics_076,Variance of 20 observations is 5. If one wrong observation 8 is omitted,to find correct variance we need:,Original _xi and _xi_,Only original mean,Only original variance,a,Statistics - c4,C2,1.5,-0.5,0.25
maths,statistics_077,The relationship _(xi - __) = 0 is true for:,All datasets,Only symmetric data,Only grouped data,Only continuous data,a,Statistics - statistics,C2,1.5,-0.5,0.25
maths,statistics_078,If n = 100,_xi_ = 162601,__ = 40,then variance is:,26.01,a,Statistics - 40,C2,1.5,-0.5,0.25
maths,statistics_079,Mean deviation about median for classes 0-10,10-20,20-30,30-40,40-50,a,Statistics - 14,C2,1.5,-0.5,0.25
maths,statistics_080,Which formula is correct for variance?,_fixi_/N - ___,(_fixi/N)_,_fi(xi - __)/N,_fixi/N,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_081,Standard deviation is minimum when deviations are taken from:,Mean,Median,Mode,Any value,a,Statistics - statistics,C3,1.5,0.5,0.25
maths,statistics_082,If yi = (xi - 65)/10 and _fiyi = -15,N = 50,then mean is:,62,65,a,Statistics - 62,C2,1.5,-0.5,0.25
