subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,permutationsandcombinations_001,How many 3-digit numbers can be formed from the digits 1,2,3,4,and 5 if repetition of digits is allowed?,a,Permutations And Combinations - 256,C2,1.5,-0.5,0.25
maths,permutationsandcombinations_002,How many 3-digit numbers can be formed from the digits 1,2,3,4,and 5 if repetition of digits is not allowed?,a,Permutations And Combinations - 24,C2,1.5,-0.5,0.25
maths,permutationsandcombinations_003,How many 3-digit even numbers can be formed from the digits 1,2,3,4,5,a,Permutations And Combinations - 216,C2,1.5,-0.5,0.25
maths,permutationsandcombinations_004,How many 4-letter codes can be formed using the first 10 letters of the English alphabet if no letter can be repeated?,5040,10000,2520,3024,a,Permutations And Combinations - permutations_and_combinations,C1,1.5,-1.0,0.25
maths,permutationsandcombinations_005,How many 5-digit telephone numbers can be constructed using the digits 0 to 9 if each number starts with 67 and no digit appears more than once?,336,504,720,56,d,Permutations And Combinations - permutations_and_combinations,C2,1.5,-0.5,0.25
maths,permutationsandcombinations_006,A coin is tossed 3 times and outcomes are recorded. How many possible outcomes are there?,6,8,9,12,b,Permutations And Combinations - permutations_and_combinations,C1,1.5,-1.0,0.25
maths,permutationsandcombinations_007,Given 5 flags of different colours,how many different signals can be generated if each signal requires the use of 2 flags,one below the other?,10,20,a,Permutations And Combinations - b,C2,1.5,-0.5,0.25
maths,permutationsandcombinations_008,What is the value of 8!?,5040,40320,362880,720,b,Permutations And Combinations - permutations_and_combinations,C1,1.5,-1.0,0.25
maths,permutationsandcombinations_009,What is the value of 4! - 3!?,18,6,12,24,a,Permutations And Combinations - permutations_and_combinations,C1,1.5,-1.0,0.25
maths,permutationsandcombinations_010,Is 3! + 4! equal to 7!?,Yes,No,Cannot be determined,Only if n>5,b,Permutations And Combinations - permutations_and_combinations,C1,1.5,-1.0,0.25
maths,permutationsandcombinations_011,Compute the value of 8!/(6!_2!),28,56,4,14,a,Permutations And Combinations - permutations_and_combinations,C1,1.5,-1.0,0.25
