subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c,selected_option_text
Vocabulary,Q001,What is the meaning of VITUPERATIVE?,Praising,Harshly critical,Kind,Gentle,B,Advanced Vocabulary,C1,1.2,-0.8,0.25,Harshly critical
Vocabulary,Q002,What does EPHEMERAL mean?,Permanent,Lasting,Brief,Eternal,C,Time Concepts,C2,1.1,-0.3,0.25,Brief
Vocabulary,Q003,UBIQUITOUS means:,Rare,Everywhere,Hidden,Occasional,B,Descriptive Words,C2,1.0,0.1,0.25,Everywhere
Vocabulary,Q004,What is PERSPICACIOUS?,Confused,Clear-sighted,Blind,Uncertain,B,Mental Qualities,C3,1.3,0.7,0.25,Clear-sighted
Vocabulary,Q005,TRUCULENT means:,Peaceful,Aggressive,Calm,Gentle,B,Behavioral Traits,C3,1.2,0.9,0.25,Aggressive
Vocabulary,Q006,What does RECONDITE mean?,Simple,Obscure,Clear,Popular,B,Complexity,C4,1.4,1.2,0.25,Obscure
Vocabulary,Q007,PUSILLANIMOUS describes someone who is:,Brave,Cowardly,Strong,Bold,B,Character Traits,C1,0.9,-1.2,0.25,Cowardly
Vocabulary,Q008,What is DILATORY behavior?,Prompt,Delayed,Quick,Efficient,B,Time-related,C2,1.1,-0.1,0.25,Delayed
Vocabulary,Q009,SANGUINE means:,Pessimistic,Optimistic,Angry,Sad,B,Emotional States,C2,1.0,0.2,0.25,Optimistic
Vocabulary,Q010,What does PELLUCID mean?,Murky,Clear,Dark,Cloudy,B,Clarity,C3,1.2,0.6,0.25,Clear
Vocabulary,Q011,OSTENTATIOUS behavior is:,Modest,Showy,Quiet,Simple,B,Behavior,C2,1.0,0.3,0.25,Showy
Vocabulary,Q012,What is INDEFATIGABLE?,Tired,Tireless,Lazy,Weak,B,Energy Levels,C3,1.3,0.8,0.25,Tireless
Vocabulary,Q013,PENURIOUS means:,Generous,Stingy,Rich,Wasteful,B,Financial Traits,C4,1.5,1.4,0.25,Stingy
Vocabulary,Q014,What does SUPERCILIOUS mean?,Humble,Arrogant,Kind,Friendly,B,Attitude,C3,1.2,0.9,0.25,Arrogant
Vocabulary,Q015,LUGUBRIOUS describes something:,Cheerful,Mournful,Exciting,Happy,B,Mood,C4,1.4,1.3,0.25,Mournful
Vocabulary,Q016,What is MAGNANIMOUS behavior?,Petty,Generous,Selfish,Mean,B,Character,C2,1.1,0.0,0.25,Generous
Vocabulary,Q017,QUIXOTIC means:,Practical,Idealistic,Realistic,Sensible,B,Thinking Style,C4,1.5,1.5,0.25,Idealistic
Vocabulary,Q018,What does TERSE mean?,Wordy,Concise,Long,Detailed,B,Communication,C2,1.0,-0.2,0.25,Concise
Vocabulary,Q019,VINDICTIVE describes someone who is:,Forgiving,Vengeful,Kind,Merciful,B,Personality,C3,1.2,0.7,0.25,Vengeful
Vocabulary,Q020,What is VICARIOUS experience?,Direct,Indirect,Personal,Immediate,B,Experience Type,C3,1.3,0.8,0.25,Indirect
