subject,question_id,question,option_a,option_b,option_c,option_d,answer,topic,tier,discrimination_a,difficulty_b,guessing_c
maths,probability_001,A die is rolled. Let E be the event die shows 4 and F be the event die shows even number. Are E and F mutually exclusive?,Yes,they are mutually exclusive,No,they are not mutually exclusive,a,Probability - b,C2,1.5,-0.5,0.25
maths,probability_002,A die is thrown. Event A is a number less than 7. What is A?,{1,2,3,4,a,Probability - {1,C2,1.5,-0.5,0.25
maths,probability_003,A die is thrown. Event B is a number greater than 7. What is B?,{1,2,3,4,a,Probability - {8,C2,1.5,-0.5,0.25
maths,probability_004,For a die throw,if C represents a multiple of 3,what is C?,{3,6},a,Probability - 6},C3,1.5,0.5,0.25
maths,probability_005,For a die throw,if E represents an even number greater than 4,what is E?,{4,6},a,Probability - 6},C2,1.5,-0.5,0.25
maths,probability_006,For a die throw,if F represents a number not less than 3,what is F?,{3,4,a,Probability - {1,C2,1.5,-0.5,0.25
maths,probability_007,For events in a die throw,what is A _ B where A = {1,2,3,4,a,Probability - {1,C2,1.5,-0.5,0.25
maths,probability_008,A coin is tossed twice. What is the probability that at least one tail occurs?,1/4,1/2,3/4,1,c,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_009,When a die is thrown,what is the probability that a prime number will appear?,1/3,1/2,2/3,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_010,When a die is thrown,what is the probability that a number greater than or equal to 3 will appear?,1/2,2/3,1/3,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_011,When a die is thrown,what is the probability that a number less than or equal to one will appear?,0,1/6,1/3,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_012,When a die is thrown,what is the probability that a number more than 6 will appear?,1,1/6,0,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_013,When a die is thrown,what is the probability that a number less than 6 will appear?,1,5/6,1/6,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_014,A card is selected from a pack of 52 cards. How many points are there in the sample space?,51,52,13,4,b,Probability - probability,C1,1.5,-1.0,0.25
maths,probability_015,A card is selected from a pack of 52 cards. What is the probability that the card is an ace of spades?,1/52,1/13,4/52,1/4,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_016,A card is selected from a pack of 52 cards. What is the probability that the card is an ace?,1/52,4/52,1/13,Both b and c,d,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_017,A card is selected from a pack of 52 cards. What is the probability that the card is a black card?,1/4,1/2,13/52,26/52,b,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_018,A fair coin with 1 marked on one face and 6 on the other and a fair die are both tossed. What is the probability that the sum of numbers is 3?,1/6,1/12,2/12,1/4,b,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_019,A fair coin with 1 marked on one face and 6 on the other and a fair die are both tossed. What is the probability that the sum of numbers is 12?,0,1/12,1/6,1/2,b,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_020,There are 4 men and 6 women on a city council. If one member is selected at random,what is the probability it is a woman?,3/5,2/5,1/2,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_021,Three coins are tossed once. What is the probability of getting 3 heads?,1/2,1/4,1/8,3/8,c,Probability - probability,C1,1.5,-1.0,0.25
maths,probability_022,Three coins are tossed once. What is the probability of getting 2 heads?,1/8,3/8,1/2,2/8,b,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_023,Three coins are tossed once. What is the probability of getting at least 2 heads?,1/2,3/8,1/4,5/8,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_024,Three coins are tossed once. What is the probability of getting at most 2 heads?,7/8,3/4,1/2,5/8,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_025,Three coins are tossed once. What is the probability of getting no head?,1/8,0,1/2,3/8,a,Probability - probability,C1,1.5,-1.0,0.25
maths,probability_026,Three coins are tossed once. What is the probability of getting 3 tails?,1/8,3/8,0,1/2,a,Probability - probability,C1,1.5,-1.0,0.25
maths,probability_027,Three coins are tossed once. What is the probability of getting exactly two tails?,1/8,2/8,3/8,4/8,c,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_028,Three coins are tossed once. What is the probability of getting no tail?,1/8,0,1/2,1,a,Probability - probability,C1,1.5,-1.0,0.25
maths,probability_029,Three coins are tossed once. What is the probability of getting at most two tails?,7/8,1,3/4,1/2,a,Probability - probability,C2,1.5,-0.5,0.25
maths,probability_030,If 2/11 is the probability of an event A,what is the probability of the event 'not A'?,9/11,2/11,11/9,a,Probability - c1,C2,1.5,-0.5,0.25
maths,probability_031,From the word ASSASSINATION,a letter is chosen at random. What is the probability that it is a vowel?,6/13,7/13,5/13,a,Probability - c2,C2,1.5,-0.5,0.25
maths,probability_032,From the word ASSASSINATION,a letter is chosen at random. What is the probability that it is a consonant?,6/13,7/13,5/13,a,Probability - c2,C2,1.5,-0.5,0.25
maths,probability_033,Given P(A) = 3/5 and P(B) = 1/5. If A and B are mutually exclusive events,what is P(A or B)?,4/5,3/5,1/5,a,Probability - c2,C2,1.5,-0.5,0.25
maths,probability_034,If P(E) = 1/4,P(F) = 1/2 and P(E and F) = 1/8,what is P(E or F)?,5/8,3/4,a,Probability - a,C2,1.5,-0.5,0.25
